lugar,tipo_daño,entrecalles,colonia,calle,numero_exterior,atrapados,lesionados,desaparecidos,fallecidos,rescatados,link_google_maps,dirección_completa,lat,lon,entidad,tipo_reporte,necesidades,delegacion,descripcion,Fecha de creación,Última actualización
Casa,Grietas,13 norte y 15 norte,,Av 555,19,,,,,,"http://maps.google.com/maps?q=loc:19.4477621,-99.086824","Av 555 19, San Juan de Aragón II Secc, 07969 Ciudad de México, CDMX, Mexico",19.4477621000,-99.0868240000,NA,,,Gustavo a madero,Grietas y piso abierto,,
Casa,Grietas,131 y 133,,Lázaro Cárdenas y america,0,,,,,,"http://maps.google.com/maps?q=loc:17.0618449,-96.7112829","Lázaro Cárdenas 0, Benito Juárez, 68100 Oaxaca, Oax., Mexico",17.0618449000,-96.7112829000,Matías Romero,,,Oaxaca,Una pared caída 2 agrietadas total,,
Oficinas,Grietas,14 sur y NA,,Amsterdam,NA,,,,,,"http://maps.google.com/maps?q=loc:28.4026231,-106.8482535","Amsterdam, Los Manzanos, Cd Cuauhtémoc, Chih., Mexico",28.4026231000,-106.8482535000,NA,,,Cuauhtémoc,NA,,
NA,Escaleras movidas y separación n entre pisos 8y 9,16 de septiembre y Venustiano Carranza,,NA,BOLIVAR,,,,,,"http://maps.google.com/maps?q=loc:19.4299801,-99.1388938","Simón Bolívar, Centro, Ciudad de México, CDMX, Mexico",19.4299801000,-99.1388938000,Centro histórico cdmx,,,Cuahutemoc,Muchas cuarteaduras  derrumbe parcial interior  escaleras electricas fuera de lugar separación entre piso 8y9 trabar es inseguro para laborar,,
Otro,Grietas,17 sur y Privada 15 sur,,Ángel Urraza,1525,,,,,,"http://maps.google.com/maps?q=loc:19.3808172,-99.1567497","Angel Urraza 1525, Vértiz Narvarte, 03600 Ciudad de México, CDMX, Mexico",19.3808172000,-99.1567497000,Ciudad de méxico,,,Benito Juárez,"Múltiples grietas en todo el edificio, algunas de ellas al punto de casi poder ver hacia afuera atravez de espacios entre los ladrillos.",,
Departamentos,Grietas,18 y 2,,Guillermo prieto,36,,,,,,"http://maps.google.com/maps?q=loc:19.407055,-99.1249116","Guillermo Prieto 36, San Rafael, 15800 Hervidero y Plancha, CDMX, Mexico",19.4070550000,-99.1249116000,Ciudad de mexico,,,Cuauhtemoc,Se colapso la parte superior,,
Conjunto Habitacional,NA,1a y 2a de Luis Araiza,,Combate de Celaya,Remanente 37,,,,,,,"Combate de Celaya 37 , Iztapalapa ,ciudad de mexico",NA,NA,Ciudad de México  Col. U.H Vicente Guerrero,,,Iztapalapa,Grietas en Piso cuarteado  muros  agrietados  ladrillos salidos  etc,,
NA,Fugas de agua  transformadores q punto de caer,1er callejón de general Anaya,,2do callejón de general Anaya,49,,,,,,"http://maps.google.com/maps?q=loc:19.3576763,-99.103124","2do. Callejón General Anaya 49, Sta Bárbara, 09000 Ciudad de México, CDMX, Mexico",19.3576763000,-99.1031240000,Ciudad de México,,,Iztapalapa,Hay grietas en paredes y suelo; fugas de agua y gas. Transformadores de luz a punto de caer. Colonia Barrio de Santa Barbara  toda tiene grietas  ayuda,,
NA,NA,2 Cerrada y Cruz Blanca,,Tercera Cerrada Monte de las Cruces,77 int 3,,,,,,,"Tercera Cerrada Monte de las Cruces 77 int 3 , Cuajimalpa ,ciudad de mexico",NA,NA,Acopilco,,,Cuajimalpa,Se han cuarteado prácticamente todas las paredes de planta baja,,
Casa,Grietas,2 poniente y 4 poniente,,Agustin Melgar,44,,,,,,"http://maps.google.com/maps?q=loc:19.4188824,-99.1771098","Agustín Melgar 44, Condesa, 06140 Ciudad de México, CDMX, Mexico",19.4188824000,-99.1771098000,Condesa,,,Cuauhtemoc,Paredes agrietadas y derrumbe parcial,,
NA,NA,2 y 4 poniente,,4 norte,226,,,,,,"http://maps.google.com/maps?q=loc:19.4952652,-99.1976496","4 norte 226 ,   ,ciudad de mexico",19.4952652000,-99.1976496000,Tehuacán,,,NA,Bardas cuarteadas y una inclinada.,,
Departamentos,Fuga de gas,20 sur y 7 poniente,,Agricultura,111,,,,,,"http://maps.google.com/maps?q=loc:19.4000993,-99.1778921","Agricultura 111, Escandón II Secc, 11800 Ciudad de México, CDMX, Mexico",19.4000993000,-99.1778921000,NA,,,NA,NA,,
Casa,Grietas,20 y 22,,Acueducto ojo de agua,6,,,,,,"http://maps.google.com/maps?q=loc:19.6852168,-99.0368076","Paseo Acueducto 6, San Pedro Atzompa, 55770 Ojo de Agua, Méx., Mexico",19.6852168,-99.0368076,NA,,,Ecatepec,Grieta y levantamiento de azulejo en pared de cocina,,
Casa,Grietas,20 y 24,,Calle camino A la Hacienda,5520802191,,,,,,"http://maps.google.com/maps?q=loc:19.3457515,-99.1236887","Calle camino A la Hacienda 5520802191 ,   ,ciudad de mexico",19.3457515000,-99.1236887000,Chicoloapan de Juárez,,,NA,Solo son algunas grietas en varias partes de la casa,,
Otro,Grietas,23 sur y 30 Nte.,,Anáhuac,15,,,,,,"http://maps.google.com/maps?q=loc:19.3000111,-99.1095317","Anáhuac 15, El Mirador, 04950 Ciudad de México, CDMX, Mexico",19.3000111000,-99.1095317000,CDMX,,,Coyoacán,"Fugas de agua, grietas en el piso y levantamiento de azulejos en la planta baja.",,
Departamentos,Grietas,24 sur y Avenida san Manuel,,Cuitzeo,32,,,,,,"http://maps.google.com/maps?q=loc:19.4477958,-99.1735467","Cuitzeo 32 , Miguel Hidalgo ,ciudad de mexico",19.4477958000,-99.1735467000,Ciudad de México,,,Miguel Hidalgo,Nuevas grietas e incremento de fisuras de los muros de soporte de estructuras.,,
Casa,Grietas,25 Norte y 29 Norte,,naranjo,800,,,,,,"http://maps.google.com/maps?q=loc:19.4653257,-99.1557773","naranjo 800 , azcapotzalco ,ciudad de mexico",19.4653257000,-99.1557773000,NA,,,azcapotzalco,Grietas,,
Oficinas,Grietas,27 y Eje 5,,Emiliano Zapata,79,,,,,,"http://maps.google.com/maps?q=loc:19.3647037,-99.14472","Gral. Emiliano Zapata 79, Portales Nte, 03300 Ciudad de México, CDMX, Mexico",19.3647037000,-99.1447200000,Ciudad de México,,,Benito Juárez,Grieta de dos pisos en columna principal,,
NA,NA,29 sur y 31 sur,,Manuel Espinosa Iglesias,2904,,,,,,"http://maps.google.com/maps?q=loc:19.043992,-98.2268947","Manuel Espinosa Iglesias 2904 , Puebla ,ciudad de mexico",19.0439920000,-98.2268947000,Puebla,,,Puebla,Existen varias grietas de gravedad  caída de plafones  expedientes diversos  el edificio está muy viejo y maltratado favor de verificarlo. Son oficinas públicas,,
NA,NA,298 y 299,,317,#93,,,,,,"http://maps.google.com/maps?q=loc:19.3453795,-99.1907523","TX-317, Texas, USA",19.3453795000,-99.1907523000,Ciudad de México,,,Gustavo A. Madero.,Grietas en cuartos.,,
residencial,daño mayor,2da Privada de Rosa Maria Siqueira y Manuel Canizares,,2da Privada de Rosa Maria Siqueira,105,0,0,0,0,0,"https://www.google.com/maps/place/Segunda+Privada+R.+Sequeira+105,+Culhuacan+CTM+VI,+04480+Ciudad+de+México,+CDMX,+México/@19.3228679,-99.119162,19z/data=!3m1!4b1!4m5!3m4!1s0x85ce01e950127301:0x44d83c391a3fc5cf!8m2!3d19.3228679!4d-99.1186148 ","2da Privada de Rosa Maria Siqueira No. 105, Col. CTM Culhuacan Seccion VI, CP 04480",19.3228679000,"-99.119162,19",Ciudad de Mexico,,"Edificio Danado con posibilidad de derrumbe, se solicita verificacion.",,,,
NA,NA,3 norte,,Cinco norte,92,,,,,,"http://maps.google.com/maps?q=loc:19.3741953,-99.2146913","Norte 5, Olivar del Conde 2da Secc, 01408 Ciudad de México, CDMX, Mexico",19.3741953000,-99.2146913000,Cuautla,,,NA,Casa completamente agruietada. Bardas con grietas mayores,,
Casa,Grietas,3 sur y 5 sur,,Franz Blom Petersen 121,121,,,,,,"http://maps.google.com/maps?q=loc:19.359031,-99.1416987","Franz Blom Petersen 121, Ermita, 03590 Ciudad de México, CDMX, Mexico",19.3590310000,-99.1416987000,Mexico,,,Benito Juárez,Grietas en muros,,
Casa,Derrumbe total,3 y 4,,Allende,5575655871,,,,,,"http://maps.google.com/maps?q=loc:19.5452873,-99.1545942","Allende, Pueblosan Miguel Chalma, Tlalnepantla, Méx., Mexico",19.5452873000,-99.1545942000,Estado de México,,,Tlalnepantla,Grietas en las paredes y afectación en el techo,,
Departamentos,Grietas,306 y 308,,Saltillo,19,,,,,,"http://maps.google.com/maps?q=loc:19.4097582,-99.1734511","Saltillo 19, Hipódromo, 06100 Ciudad de México, CDMX, Mexico",19.4097582,-99.1734511,NA,,,Hipodromo Condesa,Grietas y daños en las escaleras de desalojo del edificio.,,
Departamentos,Grietas,308 y 310,,Calzada de la Viga esq. Eje 6 sur,NA,,,,,,"http://maps.google.com/maps?q=loc:19.3757104,-99.122678","Playa Pie de la Cuesta & Cardiologos, El Retoño, Ciudad de México, CDMX, Mexico",19.3757104,-99.122678,Ciudad de México,,,Iztacalco,Derrumbe parcial de oficinas. Vidrios rotos.,,
Casa,Grietas,316 y 318,,Potrero popular,318,,,,,,"http://maps.google.com/maps?q=loc:19.6498404,-99.0761798","Potrero Popular 318, Potrero Popular, 55718 San Francisco Coacalco, Méx., Mexico",19.6498404,-99.0761798,NA,,,Coacalco,NA,,
Casa,Grietas,316 y 319,,Saltillo,19,,,,,,"http://maps.google.com/maps?q=loc:19.4097582,-99.1734511","Saltillo 19, Hipódromo, 06100 Ciudad de México, CDMX, Mexico",19.4097582,-99.1734511,Cdmx,,,Cuauhtémoc,Daño en las escaleras de desalojo del edificio,,
Otro,Grietas,33 norte y 2 poniente,,Arequipa,749,,,,,,"http://maps.google.com/maps?q=loc:19.4882654,-99.1246665","Arequipa 749, Lindavista, 07300 Ciudad de México, CDMX, Mexico",19.4882654000,-99.1246665000,Ciudad de México,,,Gustavo A Madero,Grieta grande en muro,,
NA,NA,3ra cerrada de Bahía,,Calz. las Águilas,1115,,,,,,"http://maps.google.com/maps?q=loc:19.3494047,-99.224867","Calz de Las Aguilas 1115, San Clemente Nte, 01740 Ciudad de México, CDMX, Mexico",19.3494047000,-99.2248670000,Ciudad de México,,,Álvaro Obregón,En mi departamento solo hay unas pequeñas grietas de yeso. Pero en los otros departamentos parece si se daño peor. No estoy seguro si las estructuras mayores estan dañadas  pues no se ven,,
Casa,Grietas,4 avenida y Amanecer ranchero,,1ra cerrada de Guadalupe Victoria,17,,,,,,"http://maps.google.com/maps?q=loc:19.2894633,-99.1726141","1ra cerrada de Guadalupe Victoria 17 , Tlalpan ,ciudad de mexico",19.2894633000,-99.1726141000,NA,,,Tlalpan,Grieta profunda en pared de recámara,,
NA,NA,4 Y 6,,SUR 23,91,,,,,,"http://maps.google.com/maps?q=loc:19.3574367,-99.0708594","Sur 23 91, Leyes de Reforma 1ra Secc, Ciudad de México, CDMX, Mexico",19.3574367000,-99.0708594000,CIUDAD DE MÉXICO,,,IZTAPALAPA,GRIETAS EN VARIAS VIVIENDAS,,
Casa,Grietas,40 y 55 sur,,Amsterdam,NA,,,,,,"http://maps.google.com/maps?q=loc:28.4026231,-106.8482535","Amsterdam, Los Manzanos, Cd Cuauhtémoc, Chih., Mexico",28.4026231000,-106.8482535000,"Condesa, DF",,,NA,Derrumbe,,
Oficinas,Grietas,42771 y 43059,,Fresno,292,,,,,,"http://maps.google.com/maps?q=loc:19.4545964,-99.1600747","Fresno 292 , Cuauhtemoc ,ciudad de mexico",19.4545964000,-99.1600747000,Cdmx,,,Cuauhtemoc,Una cuarteadura en el edifico central aproximadamente 2 metros de longitud,,
Departamentos,Grietas,42771 y Cerca del Hospital Homeopático,,Felipe Vinicio,0,,,,,,"http://maps.google.com/maps?q=loc:19.6627264,-99.1017329","Felipe Vinicio 0 , Coacalco ,ciudad de mexico",19.6627264000,-99.1017329000,Coacalco Estado de México,,,Coacalco,Es un CAM está muy agrietada la escuela y son niños con capacidades diferentes muchos en silla de ruedas,,
Departamentos,Otro,42771 y san antonio abad,,Callejón del Sapo,13,,,,,,"http://maps.google.com/maps?q=loc:19.4831647,-99.2098008","Callejón del Sapo 13 , Azcapotzalco ,ciudad de mexico",19.4831647000,-99.2098008000,NA,,,Azcapotzalco,Grietas en varias paredes y techo de la casa,,
Oficinas,Derrumbe parcial,42967 y Churubusco,,Providencia,1218,,,,,,"http://maps.google.com/maps?q=loc:19.3807184,-99.1713012","Calle Providencia 1218, Col del Valle Centro, 03100 Ciudad de México, CDMX, Mexico",19.3807184000,-99.1713012000,Colonia del valle,,,Benito juarez,"Hay grietas delgadas por todo el edificio (nuevas) son 12 niveles, alfunas frietas son de 45 grados, marcos rigidos (columnas-trabes) no parecen muy afectadas pero hay muros colapsados",,
Oficinas,Grietas,42967 y Río Churubusco,,Queretaro,207,,,,,,"http://maps.google.com/maps?q=loc:19.4142663,-99.1640364","Calle Querétaro 207, Roma Nte., 06700 Ciudad de México, CDMX, Mexico",19.4142663000,-99.1640364000,NA,,,Cuauhtémoc,"Grietas en todo el edifico, se cayeron azulejos",,
Casa,Grietas,43 y 45 y 43 y 45,,Acapulco,70,,,,,,"http://maps.google.com/maps?q=loc:19.4174662,-99.1734637","Acapulco 70, Roma Nte., 06700 Ciudad de México, CDMX, Mexico",19.4174662000,-99.1734637000,CDMX,,,Cuauhtémoc,"Se cayó la herrería con cristales de la fachada, dejando sin una pared el edificio",,
Casa,Grietas,43020 y Vitrales,,Av chapultepec,328,,,,,,"http://maps.google.com/maps?q=loc:19.4230391,-99.1643976","Av Chapultepec 328, Roma Nte., 06700 Ciudad de México, CDMX, Mexico",19.4230391000,-99.1643976000,Col roma,,,Cuauhtemoc,Daño estructural grietas muy abiertas en escaleras muros y pisos,,
Casa,Grietas,43059 y Narciso Mendoza,,Juarez e Hidalgo,1100,,,,,,"http://maps.google.com/maps?q=loc:20.4360435,-103.9298397","Calle Juarez & Hidalgo, Centro, 46770 San Martín Hidalgo, Jal., Mexico",20.4360435000,-103.9298397000,Toluca,,,Centro,"Están los edificios a simple vista con cierta inclinación, y aun así siguen laboraron",,
NA,NA,5 de febrero,,Diagonal 20 de noviembre,219,,,,,,"http://maps.google.com/maps?q=loc:19.4230836,-99.1351227","Diagonal 20 de noviembre 219 , Cuauhtémoc ,ciudad de mexico",19.4230836000,-99.1351227000,Ciudad de México,,,Cuauhtémoc,Muchas grietas y un edificio más dañado al lado que influyó para que se lastimara el edificio antes mencionado,,
NA,NA,5 de febrero e Isabel la católica,,Izazaga,89,,,,,,"http://maps.google.com/maps?q=loc:19.4256896,-99.1365218","José María Izazaga 89, Centro, 06080 Ciudad de México, CDMX, Mexico",19.4256896000,-99.1365218000,México,,,Cuauhtémoc,Grietas por todos lados,,
NA,NA,5 de febrero y calzada de Tlalpan,,Privada lago,31,,,,,,"http://maps.google.com/maps?q=loc:19.3812855,-99.141175","Privada lago 31 , Benito Juárez ,ciudad de mexico",19.3812855000,-99.1411750000,Df,,,Benito Juárez,Grietas,,
Es un edificio de departamentos,Se hizo un poco hacia atras,5 de Febrero y Tlalpan/ Toribio Medina y Hernandez y Davalos,,Marcelino Davalos,44,,,,,,"http://maps.google.com/maps?q=loc:19.4057595,-99.1370328","Marcelino Dávalos 44, Algarín, 06880 Ciudad de México, CDMX, Mexico",19.4057595000,-99.1370328000,Ciudad de Mexico,,,Cuauhtemoc,Hay una grieta y el edificio se hizo hacia atras esta ladeado,,
NA,NA,5 de mayo y 3 norte,,2 poniente,101,,,,,,"http://maps.google.com/maps?q=loc:18.8860911,-97.7280549","Av. 2 Pte. 101, El Calvario, Centro, 75480 Centro, Pue., Mexico",18.8860911000,-97.7280549000,Puebla,,,Centro,Grietas en gran parte del edificio,,
NA,Los pilotes de las columnas de tronaron y se separaron de las trabes,5 de Mayo y cerrada niños héroes,,Niños Heroes,214,,,,,,"http://maps.google.com/maps?q=loc:19.2633717,-99.1673178","Niños Heroes 214, San Pedro Mártir, 14650 Ciudad de México, CDMX, Mexico",19.2633717000,-99.1673178000,CDMX Pueblo de San Pedro Martir,,,Tlalpan,NA,,
NA,NA,5 mayo y centenario,,Xochimilco,24,,,,,,"http://maps.google.com/maps?q=loc:19.365503,-99.2031306","Xochimilco 24, Merced Gómez, 01600 Ciudad de México, CDMX, Mexico",19.3655030000,-99.2031306000,México,,,Álvaro Obregón,Grietas al interior  al parecer no es muro de carga.,,
Departamentos,Otro,5 poniente y 3 poniente,,Andador terraples,415,,,,,,"http://maps.google.com/maps?q=loc:19.0082372,-98.1844252","De Terraplenes 415, INFONAVIT la Margarita, Puebla, Pue., Mexico",19.0082372000,-98.1844252000,NA,,,Puebla,Cuartiadura paredes y marco de la puerta,,
Otro,Grietas,5 y NA,,Rigoberta menchu,84,,,,,,"http://maps.google.com/maps?q=loc:19.975166,-102.25094","Rigoberta Menchú 84, Luis Donaldo Colosio Murrieta, 59640 Zamora, Mich., Mexico",19.975166,-102.25094,Veracrz,,,NA,Grietas en loza de recamata,,
NA,NA,5de Febrero e I. La Católica,,Manuel M. Flores,126  128,,,,,,"http://maps.google.com/maps?q=loc:19.4164251,-99.1369798","Manuel M. Flores 126, Obrera, 06800 Ciudad de México, CDMX, Mexico",19.4164251000,-99.1369798000,CDMX,,,CUAUHTEMOC,Cuarteaduras pronunciadas en muros,,
Casa,Grietas,6 y 4,,Calle de Lerdo,307,,,,,,"http://maps.google.com/maps?q=loc:19.4538673,-99.1395187","Calle de Lerdo 307 , Cuauhtémoc ,ciudad de mexico",19.4538673000,-99.1395187000,Tlatelolco,,,Cuauhtémoc,"Grietas entre techo y pared en el piso 3, además de daños en cada piso de las escaleras, poco visibles por el axulejo que tienen las paredes del edificio en las áreas comúnes (pasillos, escaleras).",,
Casa,Grietas,604 y 606,,Toltecas,58454189,,,,,,"http://maps.google.com/maps?q=loc:19.3255333,-99.0498293","Toltecas 58454189 , Iztapalapa ,ciudad de mexico",19.3255333,-99.0498293,NA,,,Iztapalapa,Grieta en una parte de la estructura horizontal a la trave,,
NA,NA,a 16 de septiembre y capulines,,maiz,225,,,,,,"http://maps.google.com/maps?q=loc:19.3493049,-99.1160637","maiz 225 , xochimilco ,ciudad de mexico",19.3493049000,-99.1160637000,ciudad de mexico,,,xochimilco,grietas,,
Otro,Grietas,A 5 mts del auditorio de bienes comunales y Calle principal de san jeronimo,,Callejón de Igualdad,34,,,,,,"http://maps.google.com/maps?q=loc:19.4251517,-99.1404103","Callejón de Igualdad 34 , Cuauhtémoc ,ciudad de mexico",19.4251517000,-99.1404103000,CDMX,,,Cuauhtémoc,"Paredes agrietadas, algunas partes de la estructura caídas",,
Departamentos,Grietas,A media cuadra de Picacho Ajusco. y NA,,Av chapultepec,328,,,,,,"http://maps.google.com/maps?q=loc:19.4230391,-99.1643976","Av Chapultepec 328, Roma Nte., 06700 Ciudad de México, CDMX, Mexico",19.4230391000,-99.1643976000,Col roma,,,Cuauhtemoc,Grietas enormes en escaleras pisos muros y habitaciones,,
NA,NA,A un costado de Fraccionamiento Barrios de Sta. Catarina,,Fraccionamiento el Caballo,S/N,,,,,,"http://maps.google.com/maps?q=loc:19.0751432,-98.2504222","Puebla, Pue., Mexico",19.0751432000,-98.2504222000,PUEBLA,,,Puebla,Algunas grietas que podrían preocupar por la altura de la casa.,,
NA,NA,A una cuadra del parque delta,,Anaxágoras,26,,,,,,"http://maps.google.com/maps?q=loc:19.4029981,-99.156214","Anaxágoras 26, Piedad Narvarte, 03000 Ciudad de México, CDMX, Mexico",19.4029981000,-99.1562140000,Benito juarez,,,Piedad narvarte,Las escaleras se encuentran altamente dañadas  con grietas a los lados y temo que si vuelve a haber una réplica  se puedan caer,,
Oficinas,Derrumbe parcial,Abasolo y Gómez farias,,Mexicali,20,,,,,,"http://maps.google.com/maps?q=loc:19.4077975,-99.1730522","Calle Mexicali 20, Hipódromo, 06100 Ciudad de México, CDMX, Mexico",19.4077975000,-99.1730522000,Ciudad de México,,,Cuauhtémoc,Edificio en pésimas condiciones y recargado al edificio de un costado,,
Casa,Grietas,Abasolo y Independencia,,av reforma,1,,,,,,"http://maps.google.com/maps?q=loc:16.325979,-95.2514944","Reforma 1, Lieza, 70760 Tehuantepec, Oax., Mexico",16.325979,-95.2514944,oaxaca,,,tehuantepec,Callo gran parte,,
NA,NA,Abasolo y prolongación naranjo,,Ciprés,800,,,,,,"http://maps.google.com/maps?q=loc:19.4650862,-99.1548207","Ciprés 800, Col del Gas, 02950 Ciudad de México, CDMX, Mexico",19.4650862000,-99.1548207000,Ciudad de México,,,Azcapotzalco,Grietas en torres de unidad habitacional,,
Departamentos,Fuga de gas,Acapulco y Mazatlán,,Saltillo,29,,,,,,"http://maps.google.com/maps?q=loc:19.4094607,-99.1734524","Saltillo 29, Hipódromo, 06100 Ciudad de México, CDMX, Mexico",19.4094607,-99.1734524,NA,,,Cuauhtemoc,1 grieta,,
,derrumbe,acoxpa y trancas,,,,Type a message...,,,,,"https://www.google.com.mx/maps/place/Calz+Acoxpa+%26+Av.+las+Trancas,+Narciso+Mendoza,+14390+Ciudad+de+M%C3%A9xico,+CDMX/@19.2920581,-99.1255281,17z/data=!3m1!4b1!4m5!3m4!1s0x85ce0175536934e3:0xf7ca53cd437c5764!8m2!3d19.2920581!4d-99.1233394?hl=es-419",,19.2920581000,-99.1255281000,,,,,,,
Oficinas,Grietas,Actipan y Algeciras,,Melchor Ocampo,275,,,,,,"http://maps.google.com/maps?q=loc:19.4331715,-99.1721354","Cto. Interior Melchor Ocampo 275, Verónica Anzúres, 11300 Ciudad de México, CDMX, Mexico",19.4331715000,-99.1721354000,NA,,,Miguel Hidalgo,NA,,
Taller,NA,Acueducto y Fernando Celada,,Guadalupe I Ramírez,5,,,,,,"http://maps.google.com/maps?q=loc:19.2638026,-99.1048875","Guadalupe I Ramírez 5 , Xochimilco ,ciudad de mexico",19.2638026000,-99.1048875000,Ciudad de México,,,Xochimilco,Grietas en pilares,,
Departamentos,Grietas,Adelina Patti y misterios,,Yacatas,12,,,,,,"http://maps.google.com/maps?q=loc:19.4012142,-99.1547797","Yacatas 12 , Benito juarez ,ciudad de mexico",19.4012142,-99.1547797,Narvarte,,,Benito juarez,Bardas laterales del edificio derrumbadas; en la parte superior derecha,,
Departamentos,Grietas,Adelina paty y Calzada de misterios,,And Nicolas Bravo  M12 L15,15,,,,,,"http://maps.google.com/maps?q=loc:19.3810495,-99.1154231","Nicolás Bravo 15, Apatlaco, 09430 Ciudad de México, CDMX, Mexico",19.3810495,-99.1154231,iztapalapa,,,iztapalapa,"Dos habitaciones se encuentran dañadas, así mismo, parte del patio se agrietaron dos muros. Cabe destacar que por aquí pasa una falla la cual hace que las casas se hundan. solicitamos apoyo",,
NA,NA,ADOLF PRIETO Y PROVIDENCIA,,AV. ANGEL URRAZA,523,,,,,,"http://maps.google.com/maps?q=loc:19.3835801,-99.1699159","AV. ANGEL URRAZA 523 , BENITO JUAREZ ,ciudad de mexico",19.3835801000,-99.1699159000,MEXICO,,,BENITO JUAREZ,DAÑOS EN TODO EL CONDOMINIO GRIETAS  SE DESPRENDIÓ EL REPELLADO  SE CAYERON  ALGUNOS MUROS,,
